respondent_id,frame,wave,survey_month,state,income_bracket,provider_setting,open_response_text,cleaned_text,themes
R00248,provider,1,January 2024,MA,,center,"Staff juggle multiple jobs, and every disruption ripples through coverage. No substitutes are available, so I cover multiple classrooms daily. Coordinating staggered shifts with limited staff feels impossible.",staff juggle multiple jobs every disruption ripples through coverage no substitutes available so i cover multiple classrooms daily coordinating staggered shifts limited staff feels impossible,EMPLOYMENT_DISRUPTION|PROVIDER_STAFF_SHORTAGE
R00249,provider,2,February 2024,OH,,center,"I field calls daily from parents desperate for openings we just do not have. Staff juggle multiple jobs, and every disruption ripples through coverage.",i field calls daily parents desperate openings just do not have staff juggle multiple jobs every disruption ripples through coverage,
R00250,household,3,March 2024,NC,60-100k,,"Childcare remains unaffordable, forcing us to take turns missing work. No slots open when my shifts change, so reliable childcare access feels impossible.",childcare remains unaffordable forcing us take turns missing work no slots open when my shifts change so reliable childcare access feels impossible,AFFORDABILITY|CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION
R00251,household,2,February 2024,NC,<30k,,"Finding after-school care is a battle every semester, and options keep shrinking. We stretch groceries and sometimes skip meals so tuition can stay current. We were told staffing shortages limit the program to part-week care.",finding after school care battle every semester options keep shrinking stretch groceries sometimes skip meals so tuition can stay current were told staffing shortages limit program part week care,AFFORDABILITY|CHILDCARE_ACCESS|FOOD_INSECURITY
R00252,household,2,February 2024,AZ,>100k,,"My split shift schedule never aligns with the center's hours, so coverage falls apart. I feel burned out every week trying to cover shifts and still be a present parent. We stretch groceries and sometimes skip meals so tuition can stay current.",my split shift schedule never aligns center s hours so coverage falls apart i feel burned out every week trying cover shifts still present parent stretch groceries sometimes skip meals so tuition can stay current,AFFORDABILITY|EMPLOYMENT_DISRUPTION|FOOD_INSECURITY|SCHEDULING_CONSTRAINTS|STRESS_BURNOUT
R00253,provider,3,March 2024,CA,,center,"Operating costs skyrocket but families cannot absorb more tuition. No substitutes are available, so I cover multiple classrooms daily. Families want more slots than we can offer; access breaks down when staff call out.",operating costs skyrocket but families cannot absorb more tuition no substitutes available so i cover multiple classrooms daily families want more slots than can offer access breaks down when staff call out,AFFORDABILITY|PROVIDER_STAFF_SHORTAGE
R00254,household,2,February 2024,CA,30-60k,,"My split shift schedule never aligns with the center's hours, so coverage falls apart. Childcare remains unaffordable, forcing us to take turns missing work. I feel burned out every week trying to cover shifts and still be a present parent.",my split shift schedule never aligns center s hours so coverage falls apart childcare remains unaffordable forcing us take turns missing work i feel burned out every week trying cover shifts still present parent,AFFORDABILITY|EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS|STRESS_BURNOUT
R00255,provider,3,March 2024,CO,,informal,"Coordinating staggered shifts with limited staff feels impossible. Families tell me they face food insecurity, and we set up snack pantries in the classroom.",coordinating staggered shifts limited staff feels impossible families tell me they face food insecurity set up snack pantries classroom,EMPLOYMENT_DISRUPTION|FOOD_INSECURITY
R00256,household,1,January 2024,FL,<30k,,"My split shift schedule never aligns with the center's hours, so coverage falls apart. Our center says classrooms merge because of staff shortages, leaving fewer hours.",my split shift schedule never aligns center s hours so coverage falls apart our center says classrooms merge because staff shortages leaving fewer hours,EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS
R00257,household,1,January 2024,AL,30-60k,,"Our center says classrooms merge because of staff shortages, leaving fewer hours. No slots open when my shifts change, so reliable childcare access feels impossible.",our center says classrooms merge because staff shortages leaving fewer hours no slots open when my shifts change so reliable childcare access feels impossible,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION
R00258,provider,3,March 2024,GA,,family_home,"I am overwhelmed balancing paperwork, families, and the classroom without relief. Coordinating staggered shifts with limited staff feels impossible.",i am overwhelmed balancing paperwork families classroom without relief coordinating staggered shifts limited staff feels impossible,EMPLOYMENT_DISRUPTION|STRESS_BURNOUT
R00259,provider,2,February 2024,PA,,informal,"We are short staffed and cannot hire assistants even after months of recruiting. Our center closed classrooms temporarily, so neighborhood access evaporated. I see children coming in hungry, and our program scrambles to cover snacks.",short staffed cannot hire assistants even after months recruiting our center closed classrooms temporarily so neighborhood access evaporated i see children coming hungry our program scrambles cover snacks,CHILDCARE_ACCESS|PROVIDER_STAFF_SHORTAGE
R00260,household,2,February 2024,GA,30-60k,,"Childcare remains unaffordable, forcing us to take turns missing work. We have been on a childcare waitlist for months after our center closed. Our center says classrooms merge because of staff shortages, leaving fewer hours.",childcare remains unaffordable forcing us take turns missing work have been childcare waitlist months after our center closed our center says classrooms merge because staff shortages leaving fewer hours,AFFORDABILITY|CHILDCARE_ACCESS
R00261,provider,3,March 2024,OH,,after_school,"No substitutes are available, so I cover multiple classrooms daily. Food budgets for the program are maxed out while families ask for extra meals. Staff and I are emotionally drained; burnout is spreading across the team.",no substitutes available so i cover multiple classrooms daily food budgets program maxed out while families ask extra meals staff i emotionally drained burnout spreading across team,FOOD_INSECURITY|PROVIDER_STAFF_SHORTAGE
R00262,household,2,February 2024,TX,30-60k,,"Tuition and fees are too expensive; every increase means cutting groceries. My split shift schedule never aligns with the center's hours, so coverage falls apart. Finding after-school care is a battle every semester, and options keep shrinking.",tuition fees too expensive every increase means cutting groceries my split shift schedule never aligns center s hours so coverage falls apart finding after school care battle every semester options keep shrinking,AFFORDABILITY|CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION|FOOD_INSECURITY|SCHEDULING_CONSTRAINTS
R00263,provider,1,January 2024,OH,,informal,"Staff and I are emotionally drained; burnout is spreading across the team. Staff juggle multiple jobs, and every disruption ripples through coverage.",staff i emotionally drained burnout spreading across team staff juggle multiple jobs every disruption ripples through coverage,
R00264,provider,1,January 2024,WA,,after_school,We are short staffed and cannot hire assistants even after months of recruiting.,short staffed cannot hire assistants even after months recruiting,PROVIDER_STAFF_SHORTAGE
R00265,provider,3,March 2024,OH,,center,"Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff. I see children coming in hungry, and our program scrambles to cover snacks. I field calls daily from parents desperate for openings we just do not have.",families need nights weekend coverage but cannot stretch schedules without burning out staff i see children coming hungry our program scrambles cover snacks i field calls daily parents desperate openings just do not have,SCHEDULING_CONSTRAINTS
R00266,household,2,February 2024,OH,60-100k,,"We have been on a childcare waitlist for months after our center closed. We were told staffing shortages limit the program to part-week care. My split shift schedule never aligns with the center's hours, so coverage falls apart.",have been childcare waitlist months after our center closed were told staffing shortages limit program part week care my split shift schedule never aligns center s hours so coverage falls apart,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS
R00267,household,2,February 2024,WA,<30k,,I water down meals for the kids when food runs low after rent and child care.,i water down meals kids when food runs low after rent child care,
R00268,provider,2,February 2024,OH,,center,I field calls daily from parents desperate for openings we just do not have.,i field calls daily parents desperate openings just do not have,
R00269,household,1,January 2024,CO,<30k,,"Childcare remains unaffordable, forcing us to take turns missing work. Finding after-school care is a battle every semester, and options keep shrinking.",childcare remains unaffordable forcing us take turns missing work finding after school care battle every semester options keep shrinking,AFFORDABILITY|CHILDCARE_ACCESS
R00270,household,3,March 2024,NJ,>100k,,"No slots open when my shifts change, so reliable childcare access feels impossible.",no slots open when my shifts change so reliable childcare access feels impossible,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION
R00271,provider,2,February 2024,AZ,,informal,"I am overwhelmed balancing paperwork, families, and the classroom without relief.",i am overwhelmed balancing paperwork families classroom without relief,STRESS_BURNOUT
R00272,household,2,February 2024,IL,<30k,,Food insecurity is creeping back—we rely on the pantry between paychecks.,food insecurity creeping back rely pantry between paychecks,FOOD_INSECURITY
R00273,household,2,February 2024,CO,>100k,,"My split shift schedule never aligns with the center's hours, so coverage falls apart. I miss work every time care falls through, and my employer is losing patience. We have been on a childcare waitlist for months after our center closed.",my split shift schedule never aligns center s hours so coverage falls apart i miss work every time care falls through my employer losing patience have been childcare waitlist months after our center closed,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS
R00274,household,1,January 2024,WA,30-60k,,"Our center says classrooms merge because of staff shortages, leaving fewer hours. We stretch groceries and sometimes skip meals so tuition can stay current. We have been on a childcare waitlist for months after our center closed.",our center says classrooms merge because staff shortages leaving fewer hours stretch groceries sometimes skip meals so tuition can stay current have been childcare waitlist months after our center closed,AFFORDABILITY|CHILDCARE_ACCESS|FOOD_INSECURITY
R00275,household,1,January 2024,IL,<30k,,"We were told staffing shortages limit the program to part-week care. We stretch groceries and sometimes skip meals so tuition can stay current. I miss work every time care falls through, and my employer is losing patience.",were told staffing shortages limit program part week care stretch groceries sometimes skip meals so tuition can stay current i miss work every time care falls through my employer losing patience,AFFORDABILITY|EMPLOYMENT_DISRUPTION|FOOD_INSECURITY
R00276,household,3,March 2024,PA,30-60k,,My hours were cut after too many schedule changes driven by childcare gaps.,my hours were cut after too many schedule changes driven childcare gaps,SCHEDULING_CONSTRAINTS
R00277,household,3,March 2024,CA,>100k,,Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve. The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping. My hours were cut after too many schedule changes driven by childcare gaps.,coordinating schedules my partner provider weekly puzzle rarely solve stress juggling work caregiving overwhelming my mental health keeps slipping my hours were cut after too many schedule changes driven childcare gaps,SCHEDULING_CONSTRAINTS|STRESS_BURNOUT
R00278,provider,1,January 2024,OH,,informal,"I field calls daily from parents desperate for openings we just do not have. Families tell me they face food insecurity, and we set up snack pantries in the classroom.",i field calls daily parents desperate openings just do not have families tell me they face food insecurity set up snack pantries classroom,FOOD_INSECURITY
R00279,household,3,March 2024,MA,30-60k,,"I water down meals for the kids when food runs low after rent and child care. I miss work every time care falls through, and my employer is losing patience. We were told staffing shortages limit the program to part-week care.",i water down meals kids when food runs low after rent child care i miss work every time care falls through my employer losing patience were told staffing shortages limit program part week care,EMPLOYMENT_DISRUPTION
R00280,provider,3,March 2024,CT,,center,"Open positions stay vacant, forcing us to cap enrollment and reduce hours. Families want more slots than we can offer; access breaks down when staff call out.",open positions stay vacant forcing us cap enrollment reduce hours families want more slots than can offer access breaks down when staff call out,
R00281,provider,3,March 2024,CA,,center,"Staff juggle multiple jobs, and every disruption ripples through coverage. Families tell me they face food insecurity, and we set up snack pantries in the classroom. Operating costs skyrocket but families cannot absorb more tuition.",staff juggle multiple jobs every disruption ripples through coverage families tell me they face food insecurity set up snack pantries classroom operating costs skyrocket but families cannot absorb more tuition,AFFORDABILITY|FOOD_INSECURITY
R00282,household,2,February 2024,PA,30-60k,,"Weekend work is non-negotiable, but there is no evening care anywhere nearby. Employment keeps getting disrupted when I have to leave early for pickups.",weekend work non negotiable but there no evening care anywhere nearby employment keeps getting disrupted when i have leave early pickups,EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS
R00283,provider,3,March 2024,FL,,informal,Families want more slots than we can offer; access breaks down when staff call out.,families want more slots than can offer access breaks down when staff call out,
R00284,provider,2,February 2024,TX,,center,"I see children coming in hungry, and our program scrambles to cover snacks. Our center closed classrooms temporarily, so neighborhood access evaporated. Coordinating staggered shifts with limited staff feels impossible.",i see children coming hungry our program scrambles cover snacks our center closed classrooms temporarily so neighborhood access evaporated coordinating staggered shifts limited staff feels impossible,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION
R00285,household,2,February 2024,FL,>100k,,"My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. We have been on a childcare waitlist for months after our center closed. Short staffing means inconsistent caregivers and unpredictable schedules for us.",my partner i exhausted constantly anxious about childcare collapsing last minute have been childcare waitlist months after our center closed short staffing means inconsistent caregivers unpredictable schedules us,CHILDCARE_ACCESS|SCHEDULING_CONSTRAINTS|STRESS_BURNOUT
R00286,household,3,March 2024,MA,60-100k,,"No slots open when my shifts change, so reliable childcare access feels impossible. Short staffing means inconsistent caregivers and unpredictable schedules for us. Childcare remains unaffordable, forcing us to take turns missing work.",no slots open when my shifts change so reliable childcare access feels impossible short staffing means inconsistent caregivers unpredictable schedules us childcare remains unaffordable forcing us take turns missing work,AFFORDABILITY|CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS
R00287,household,3,March 2024,CO,<30k,,"Our center says classrooms merge because of staff shortages, leaving fewer hours. We cannot afford reliable care when costs rise faster than wages.",our center says classrooms merge because staff shortages leaving fewer hours cannot afford reliable care when costs rise faster than wages,AFFORDABILITY
R00288,provider,3,March 2024,MI,,family_home,Operating costs skyrocket but families cannot absorb more tuition.,operating costs skyrocket but families cannot absorb more tuition,AFFORDABILITY
R00289,household,2,February 2024,AL,60-100k,,"My split shift schedule never aligns with the center's hours, so coverage falls apart. The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping. Finding after-school care is a battle every semester, and options keep shrinking.",my split shift schedule never aligns center s hours so coverage falls apart stress juggling work caregiving overwhelming my mental health keeps slipping finding after school care battle every semester options keep shrinking,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS|STRESS_BURNOUT
R00290,provider,3,March 2024,TX,,center,"Families tell me they face food insecurity, and we set up snack pantries in the classroom. Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff. Managing constant schedule changes with too few people is crushing my mental health.",families tell me they face food insecurity set up snack pantries classroom families need nights weekend coverage but cannot stretch schedules without burning out staff managing constant schedule changes too few people crushing my mental health,FOOD_INSECURITY|SCHEDULING_CONSTRAINTS|STRESS_BURNOUT
R00291,provider,1,January 2024,AZ,,center,Keeping care affordable while paying staff fairly is nearly impossible.,keeping care affordable while paying staff fairly nearly impossible,AFFORDABILITY
R00292,household,1,January 2024,OH,60-100k,,"Short staffing means inconsistent caregivers and unpredictable schedules for us. No slots open when my shifts change, so reliable childcare access feels impossible.",short staffing means inconsistent caregivers unpredictable schedules us no slots open when my shifts change so reliable childcare access feels impossible,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS
R00293,provider,2,February 2024,IL,,center,Operating costs skyrocket but families cannot absorb more tuition.,operating costs skyrocket but families cannot absorb more tuition,AFFORDABILITY
R00294,provider,1,January 2024,OH,,center,We are short staffed and cannot hire assistants even after months of recruiting.,short staffed cannot hire assistants even after months recruiting,PROVIDER_STAFF_SHORTAGE
R00295,provider,3,March 2024,FL,,family_home,"Scheduling constraints force us to close early when multiple people call out. Open positions stay vacant, forcing us to cap enrollment and reduce hours.",scheduling constraints force us close early when multiple people call out open positions stay vacant forcing us cap enrollment reduce hours,
R00296,household,3,March 2024,CO,60-100k,,"My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. Short staffing means inconsistent caregivers and unpredictable schedules for us.",my partner i exhausted constantly anxious about childcare collapsing last minute short staffing means inconsistent caregivers unpredictable schedules us,SCHEDULING_CONSTRAINTS|STRESS_BURNOUT
R00297,household,2,February 2024,MI,60-100k,,"Childcare remains unaffordable, forcing us to take turns missing work. We stretch groceries and sometimes skip meals so tuition can stay current.",childcare remains unaffordable forcing us take turns missing work stretch groceries sometimes skip meals so tuition can stay current,AFFORDABILITY|FOOD_INSECURITY
R00298,provider,2,February 2024,NJ,,family_home,We are short staffed and cannot hire assistants even after months of recruiting. Managing constant schedule changes with too few people is crushing my mental health.,short staffed cannot hire assistants even after months recruiting managing constant schedule changes too few people crushing my mental health,PROVIDER_STAFF_SHORTAGE|SCHEDULING_CONSTRAINTS|STRESS_BURNOUT
R00299,household,3,March 2024,CO,30-60k,,We cannot afford reliable care when costs rise faster than wages. My hours were cut after too many schedule changes driven by childcare gaps. We stretch groceries and sometimes skip meals so tuition can stay current.,cannot afford reliable care when costs rise faster than wages my hours were cut after too many schedule changes driven childcare gaps stretch groceries sometimes skip meals so tuition can stay current,AFFORDABILITY|FOOD_INSECURITY|SCHEDULING_CONSTRAINTS
R00300,household,3,March 2024,MI,60-100k,,My hours were cut after too many schedule changes driven by childcare gaps. Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve.,my hours were cut after too many schedule changes driven childcare gaps coordinating schedules my partner provider weekly puzzle rarely solve,SCHEDULING_CONSTRAINTS
R00301,household,2,February 2024,WA,<30k,,"Finding after-school care is a battle every semester, and options keep shrinking. My hours were cut after too many schedule changes driven by childcare gaps. We cannot afford reliable care when costs rise faster than wages.",finding after school care battle every semester options keep shrinking my hours were cut after too many schedule changes driven childcare gaps cannot afford reliable care when costs rise faster than wages,AFFORDABILITY|CHILDCARE_ACCESS|SCHEDULING_CONSTRAINTS
R00302,household,3,March 2024,WA,30-60k,,We have been on a childcare waitlist for months after our center closed. We stretch groceries and sometimes skip meals so tuition can stay current.,have been childcare waitlist months after our center closed stretch groceries sometimes skip meals so tuition can stay current,AFFORDABILITY|CHILDCARE_ACCESS|FOOD_INSECURITY
R00303,household,2,February 2024,IL,60-100k,,"My split shift schedule never aligns with the center's hours, so coverage falls apart. My hours were cut after too many schedule changes driven by childcare gaps.",my split shift schedule never aligns center s hours so coverage falls apart my hours were cut after too many schedule changes driven childcare gaps,EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS
R00304,household,1,January 2024,TX,<30k,,Food insecurity is creeping back—we rely on the pantry between paychecks. We cannot afford reliable care when costs rise faster than wages.,food insecurity creeping back rely pantry between paychecks cannot afford reliable care when costs rise faster than wages,AFFORDABILITY|FOOD_INSECURITY
R00305,household,1,January 2024,NY,<30k,,Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve.,coordinating schedules my partner provider weekly puzzle rarely solve,SCHEDULING_CONSTRAINTS
R00306,provider,2,February 2024,MA,,after_school,"Families tell me they face food insecurity, and we set up snack pantries in the classroom. Open positions stay vacant, forcing us to cap enrollment and reduce hours. I am juggling second jobs because enrollment swings disrupt my own employment stability.",families tell me they face food insecurity set up snack pantries classroom open positions stay vacant forcing us cap enrollment reduce hours i am juggling second jobs because enrollment swings disrupt my own employment stability,EMPLOYMENT_DISRUPTION|FOOD_INSECURITY
R00307,household,3,March 2024,WA,>100k,,We cannot afford reliable care when costs rise faster than wages.,cannot afford reliable care when costs rise faster than wages,AFFORDABILITY
R00308,provider,2,February 2024,GA,,center,"Operating costs skyrocket but families cannot absorb more tuition. Food budgets for the program are maxed out while families ask for extra meals. Assistants quit when schedules change, so my employment feels precarious too.",operating costs skyrocket but families cannot absorb more tuition food budgets program maxed out while families ask extra meals assistants quit when schedules change so my employment feels precarious too,AFFORDABILITY|EMPLOYMENT_DISRUPTION|FOOD_INSECURITY|SCHEDULING_CONSTRAINTS
R00309,provider,2,February 2024,WA,,after_school,"Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff. I am juggling second jobs because enrollment swings disrupt my own employment stability.",families need nights weekend coverage but cannot stretch schedules without burning out staff i am juggling second jobs because enrollment swings disrupt my own employment stability,EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS
R00310,household,1,January 2024,MI,30-60k,,"Finding after-school care is a battle every semester, and options keep shrinking. Childcare remains unaffordable, forcing us to take turns missing work.",finding after school care battle every semester options keep shrinking childcare remains unaffordable forcing us take turns missing work,AFFORDABILITY|CHILDCARE_ACCESS
R00311,household,2,February 2024,FL,<30k,,I water down meals for the kids when food runs low after rent and child care. We cannot afford reliable care when costs rise faster than wages.,i water down meals kids when food runs low after rent child care cannot afford reliable care when costs rise faster than wages,AFFORDABILITY
R00312,household,1,January 2024,NY,30-60k,,"My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute.",my partner i exhausted constantly anxious about childcare collapsing last minute,STRESS_BURNOUT
R00313,household,1,January 2024,CT,30-60k,,The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping. Employment keeps getting disrupted when I have to leave early for pickups.,stress juggling work caregiving overwhelming my mental health keeps slipping employment keeps getting disrupted when i have leave early pickups,EMPLOYMENT_DISRUPTION|STRESS_BURNOUT
R00314,household,2,February 2024,AL,<30k,,"No slots open when my shifts change, so reliable childcare access feels impossible. Food insecurity is creeping back—we rely on the pantry between paychecks. Tuition and fees are too expensive; every increase means cutting groceries.",no slots open when my shifts change so reliable childcare access feels impossible food insecurity creeping back rely pantry between paychecks tuition fees too expensive every increase means cutting groceries,AFFORDABILITY|CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION|FOOD_INSECURITY
R00315,provider,2,February 2024,TX,,center,"I see children coming in hungry, and our program scrambles to cover snacks. Assistants quit when schedules change, so my employment feels precarious too.",i see children coming hungry our program scrambles cover snacks assistants quit when schedules change so my employment feels precarious too,EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS
R00316,household,3,March 2024,CO,60-100k,,"Our center says classrooms merge because of staff shortages, leaving fewer hours.",our center says classrooms merge because staff shortages leaving fewer hours,
R00317,provider,2,February 2024,PA,,center,"No substitutes are available, so I cover multiple classrooms daily. Keeping care affordable while paying staff fairly is nearly impossible.",no substitutes available so i cover multiple classrooms daily keeping care affordable while paying staff fairly nearly impossible,AFFORDABILITY|PROVIDER_STAFF_SHORTAGE
R00318,household,1,January 2024,AZ,60-100k,,"I feel burned out every week trying to cover shifts and still be a present parent. No slots open when my shifts change, so reliable childcare access feels impossible.",i feel burned out every week trying cover shifts still present parent no slots open when my shifts change so reliable childcare access feels impossible,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION|STRESS_BURNOUT
R00319,household,2,February 2024,NC,60-100k,,I feel burned out every week trying to cover shifts and still be a present parent. My hours were cut after too many schedule changes driven by childcare gaps. Food insecurity is creeping back—we rely on the pantry between paychecks.,i feel burned out every week trying cover shifts still present parent my hours were cut after too many schedule changes driven childcare gaps food insecurity creeping back rely pantry between paychecks,EMPLOYMENT_DISRUPTION|FOOD_INSECURITY|SCHEDULING_CONSTRAINTS|STRESS_BURNOUT
R00320,household,1,January 2024,AL,<30k,,We stretch groceries and sometimes skip meals so tuition can stay current. We have been on a childcare waitlist for months after our center closed.,stretch groceries sometimes skip meals so tuition can stay current have been childcare waitlist months after our center closed,AFFORDABILITY|CHILDCARE_ACCESS|FOOD_INSECURITY
R00321,provider,2,February 2024,TX,,center,"Operating costs skyrocket but families cannot absorb more tuition. Open positions stay vacant, forcing us to cap enrollment and reduce hours.",operating costs skyrocket but families cannot absorb more tuition open positions stay vacant forcing us cap enrollment reduce hours,AFFORDABILITY
R00322,provider,2,February 2024,AL,,informal,"Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff. I see children coming in hungry, and our program scrambles to cover snacks. Staff juggle multiple jobs, and every disruption ripples through coverage.",families need nights weekend coverage but cannot stretch schedules without burning out staff i see children coming hungry our program scrambles cover snacks staff juggle multiple jobs every disruption ripples through coverage,SCHEDULING_CONSTRAINTS
R00323,provider,1,January 2024,AZ,,family_home,"Our center closed classrooms temporarily, so neighborhood access evaporated. Coordinating staggered shifts with limited staff feels impossible.",our center closed classrooms temporarily so neighborhood access evaporated coordinating staggered shifts limited staff feels impossible,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION
R00324,provider,1,January 2024,NY,,informal,Food budgets for the program are maxed out while families ask for extra meals.,food budgets program maxed out while families ask extra meals,FOOD_INSECURITY
R00325,household,3,March 2024,MA,30-60k,,"My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. Our center says classrooms merge because of staff shortages, leaving fewer hours. My hours were cut after too many schedule changes driven by childcare gaps.",my partner i exhausted constantly anxious about childcare collapsing last minute our center says classrooms merge because staff shortages leaving fewer hours my hours were cut after too many schedule changes driven childcare gaps,SCHEDULING_CONSTRAINTS|STRESS_BURNOUT
R00326,household,1,January 2024,NC,60-100k,,I feel burned out every week trying to cover shifts and still be a present parent. We stretch groceries and sometimes skip meals so tuition can stay current. Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve.,i feel burned out every week trying cover shifts still present parent stretch groceries sometimes skip meals so tuition can stay current coordinating schedules my partner provider weekly puzzle rarely solve,AFFORDABILITY|EMPLOYMENT_DISRUPTION|FOOD_INSECURITY|SCHEDULING_CONSTRAINTS|STRESS_BURNOUT
R00327,household,2,February 2024,NC,>100k,,We stretch groceries and sometimes skip meals so tuition can stay current.,stretch groceries sometimes skip meals so tuition can stay current,AFFORDABILITY|FOOD_INSECURITY
R00328,provider,3,March 2024,MI,,center,"Staff juggle multiple jobs, and every disruption ripples through coverage.",staff juggle multiple jobs every disruption ripples through coverage,
R00329,household,1,January 2024,AZ,30-60k,,"We stretch groceries and sometimes skip meals so tuition can stay current. Childcare remains unaffordable, forcing us to take turns missing work. My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute.",stretch groceries sometimes skip meals so tuition can stay current childcare remains unaffordable forcing us take turns missing work my partner i exhausted constantly anxious about childcare collapsing last minute,AFFORDABILITY|FOOD_INSECURITY|STRESS_BURNOUT
R00330,provider,2,February 2024,AL,,after_school,"I am juggling second jobs because enrollment swings disrupt my own employment stability. I see children coming in hungry, and our program scrambles to cover snacks.",i am juggling second jobs because enrollment swings disrupt my own employment stability i see children coming hungry our program scrambles cover snacks,EMPLOYMENT_DISRUPTION
R00331,household,3,March 2024,CT,<30k,,I water down meals for the kids when food runs low after rent and child care.,i water down meals kids when food runs low after rent child care,
R00332,household,2,February 2024,CT,<30k,,"Childcare remains unaffordable, forcing us to take turns missing work.",childcare remains unaffordable forcing us take turns missing work,AFFORDABILITY
R00333,household,2,February 2024,CT,<30k,,My hours were cut after too many schedule changes driven by childcare gaps.,my hours were cut after too many schedule changes driven childcare gaps,SCHEDULING_CONSTRAINTS
R00334,household,1,January 2024,NJ,<30k,,We cannot afford reliable care when costs rise faster than wages. I feel burned out every week trying to cover shifts and still be a present parent.,cannot afford reliable care when costs rise faster than wages i feel burned out every week trying cover shifts still present parent,AFFORDABILITY|EMPLOYMENT_DISRUPTION|STRESS_BURNOUT
R00335,household,3,March 2024,OH,30-60k,,"Food insecurity is creeping back—we rely on the pantry between paychecks. My hours were cut after too many schedule changes driven by childcare gaps. Finding after-school care is a battle every semester, and options keep shrinking.",food insecurity creeping back rely pantry between paychecks my hours were cut after too many schedule changes driven childcare gaps finding after school care battle every semester options keep shrinking,CHILDCARE_ACCESS|FOOD_INSECURITY|SCHEDULING_CONSTRAINTS
R00336,household,2,February 2024,NY,60-100k,,We were told staffing shortages limit the program to part-week care.,were told staffing shortages limit program part week care,
R00337,household,3,March 2024,NC,60-100k,,We stretch groceries and sometimes skip meals so tuition can stay current. We were told staffing shortages limit the program to part-week care. Employment keeps getting disrupted when I have to leave early for pickups.,stretch groceries sometimes skip meals so tuition can stay current were told staffing shortages limit program part week care employment keeps getting disrupted when i have leave early pickups,AFFORDABILITY|EMPLOYMENT_DISRUPTION|FOOD_INSECURITY
R00338,household,3,March 2024,GA,30-60k,,We cannot afford reliable care when costs rise faster than wages. We stretch groceries and sometimes skip meals so tuition can stay current.,cannot afford reliable care when costs rise faster than wages stretch groceries sometimes skip meals so tuition can stay current,AFFORDABILITY|FOOD_INSECURITY
R00339,household,3,March 2024,AZ,60-100k,,"No slots open when my shifts change, so reliable childcare access feels impossible. Tuition and fees are too expensive; every increase means cutting groceries.",no slots open when my shifts change so reliable childcare access feels impossible tuition fees too expensive every increase means cutting groceries,AFFORDABILITY|CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION|FOOD_INSECURITY
R00340,household,3,March 2024,AL,<30k,,We were told staffing shortages limit the program to part-week care.,were told staffing shortages limit program part week care,
R00341,household,3,March 2024,MA,<30k,,"Finding after-school care is a battle every semester, and options keep shrinking. I feel burned out every week trying to cover shifts and still be a present parent.",finding after school care battle every semester options keep shrinking i feel burned out every week trying cover shifts still present parent,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION|STRESS_BURNOUT
